year,quarter,industry,region_scope,total_companies_impacted,total_layoffs
2025,1,Marketing,Global,4,420.0
2025,1,Other,Global,4,1841.0
2025,1,Retail,Global,3,910.0
2025,1,Sales,Global,1,1000.0
2025,1,Security,Global,4,547.0
2025,1,Support,Global,2,566.0
2025,1,Transportation,Global,1,1000.0
2025,2,AI,Global,2,87.0
2025,2,Consumer,Global,4,597.0
2025,2,Data,Global,1,700.0
2025,2,Education,Global,1,248.0
2025,2,Energy,Global,1,106.0
2025,2,Food,Global,1,300.0
2025,2,Hardware,Global,1,22000.0
2025,2,Healthcare,Global,1,68.0
2025,2,Other,Global,5,6831.0
2025,2,Retail,Global,1,50.0
2025,2,Sales,Global,2,235.0
2025,2,Security,Global,2,520.0
2025,2,Support,Global,1,123.0
2025,2,Transportation,Global,3,428.0
2025,3,Biotechnology Research,Global,1,50.0
2025,3,Crypto,Global,1,47.0
2025,3,Entertainment Providers,Global,1,170.0
2025,3,Freelance services marketplace,Global,1,250.0
2025,3,IT Services and IT Consulting,Global,1,12000.0
2025,3,Other,Global,1,9000.0
2025,3,Software Development,Global,3,4731.0
2025,3,The Animation Tool for UI/UX Designers.,Global,1,30.0
2025,4,Advertising Services,Global,1,180.0
2025,4,AI chip startup,Global,1,75.0
2025,4,Autonomous-driving vehicles,Global,1,200.0
2025,4,Computer Games,Global,2,825.0
2025,4,Cybersecurity,Global,1,100.0
2025,4,Financial Services,Global,1,141.0
2025,4,Fintech,Global,2,260.0
2025,4,Healthcare,Global,1,72.0
2025,4,Higher Education,Global,1,388.0
2025,4,Higher Education Industry,Global,1,108.0
2025,4,Insurance Software Solutions,Global,1,700.0
2025,4,Logistic,Global,1,350.0
2025,4,Semiconductor Manufacturing,Global,1,1400.0
2025,4,SEO Software,Global,1,36.0
2025,4,Software Development,Global,2,2024.0
